,graph,run,diameter,edge_density,nodes,edges
0,dolphins,0,3,1.9409879031104464,9,23
1,dolphins,1,2,1.8965361405396128,9,22
2,dolphins,2,2,1.8183725314817418,7,17
3,dolphins,3,2,1.8965361405396128,9,22
4,dolphins,4,2,1.9409879031104464,9,23
5,dolphins,5,2,1.8183725314817418,7,17
6,dolphins,6,2,1.8965361405396128,9,22
7,dolphins,7,3,1.9409879031104464,9,23
8,dolphins,8,2,1.9409879031104464,9,23
9,dolphins,9,2,1.5283224928901906,8,14
10,dolphins,10,2,1.470065837213526,7,12
11,dolphins,11,2,1.8965361405396128,9,22
12,dolphins,12,2,1.8183725314817418,7,17
13,dolphins,13,2,1.8965361405396128,9,22
14,dolphins,14,2,1.8965361405396128,9,22
15,dolphins,15,2,1.8183725314817418,7,17
16,dolphins,16,2,1.8183725314817418,7,17
17,dolphins,17,2,1.8183725314817418,7,17
18,dolphins,18,3,1.7224785073311484,8,17
19,dolphins,19,2,1.8183725314817418,7,17
20,dolphins,20,2,1.8965361405396128,9,22
21,dolphins,21,2,1.8183725314817418,7,17
22,dolphins,22,3,1.9409879031104464,9,23
23,dolphins,23,3,1.7796369211710967,8,18
24,dolphins,24,2,1.8965361405396128,9,22
25,dolphins,25,2,1.8337041424413725,8,19
26,dolphins,26,2,1.9409879031104464,9,23
27,dolphins,27,2,1.9409879031104464,9,23
28,dolphins,28,2,1.8183725314817418,7,17
29,dolphins,29,2,1.8183725314817418,7,17
30,football,0,2,2.4746494302324162,12,48
31,football,1,1,2.389012625637407,9,36
32,football,2,2,2.2394808916664433,9,31
33,football,3,2,2.4746494302324162,12,48
34,football,4,2,2.2276200648763735,10,33
35,football,5,2,2.2394808916664433,9,31
36,football,6,2,1.3119131773484871,5,8
37,football,7,1,2.389012625637407,9,36
38,football,8,2,2.2394808916664433,9,31
39,football,9,2,2.3531017257031124,11,40
40,football,10,2,2.1727895171677707,9,29
41,football,11,2,2.2276200648763735,10,33
42,football,12,2,2.271229589981023,9,32
43,football,13,2,2.2394808916664433,9,31
44,football,14,1,2.389012625637407,9,36
45,football,15,2,2.4746494302324162,12,48
46,football,16,2,2.4746494302324162,12,48
47,football,17,2,2.3531017257031124,11,40
48,football,18,2,2.067318993622878,8,24
49,football,19,1,1.8053668007348067,6,15
50,football,20,2,2.4746494302324162,12,48
51,football,21,2,2.2394808916664433,9,31
52,football,22,2,2.101330553185626,9,27
53,football,23,2,1.8183725314817418,7,17
54,football,24,2,2.4746494302324162,12,48
55,football,25,2,2.3531017257031124,11,40
56,football,26,2,2.1727895171677707,9,29
57,football,27,1,2.389012625637407,9,36
58,football,28,2,2.2394808916664433,9,31
59,football,29,2,2.4746494302324162,12,48
60,email-EU-core,0,2,3.1943645655147517,21,145
61,email-EU-core,1,2,2.9589409822943527,19,107
62,email-EU-core,2,2,3.1673744459944464,18,127
63,email-EU-core,3,2,3.050575178248196,18,113
64,email-EU-core,4,2,2.4254223872827385,11,43
65,email-EU-core,5,2,3.0145352417649987,18,109
66,email-EU-core,6,2,3.3275243196620625,22,171
67,email-EU-core,7,2,3.130299234291038,19,127
68,email-EU-core,8,2,2.82301002686925,16,83
69,email-EU-core,9,2,2.515471424752671,12,50
70,email-EU-core,10,2,2.7868396056427747,14,73
71,email-EU-core,11,2,3.201237444802514,21,146
72,email-EU-core,12,2,2.8928057888047913,16,89
73,email-EU-core,13,3,2.798618573745091,16,81
74,email-EU-core,14,2,3.2796109639661646,22,163
75,email-EU-core,15,2,2.519065753885605,9,41
76,email-EU-core,16,2,3.0769982535345575,16,107
77,email-EU-core,17,2,2.773046283510439,14,72
78,email-EU-core,18,2,2.925957996121692,16,92
79,email-EU-core,19,2,3.229285880078649,22,155
80,email-EU-core,20,2,3.0145352417649987,18,109
81,email-EU-core,21,2,2.7924853051345098,15,77
82,email-EU-core,22,2,2.9919746655508295,15,94
83,email-EU-core,23,3,2.989136897743224,16,98
84,email-EU-core,24,2,2.855399130545079,15,82
85,email-EU-core,25,2,3.567865510040291,27,250
86,email-EU-core,26,2,3.0901331925657036,19,122
87,email-EU-core,27,2,2.903099411758637,14,82
88,email-EU-core,28,2,2.903027179534333,15,86
89,email-EU-core,29,2,3.429837952820026,24,201
90,C-elegans-frontal,0,2,2.491731151115376,15,57
91,C-elegans-frontal,1,2,2.331953358355064,13,44
92,C-elegans-frontal,2,3,2.1298089439406866,12,34
93,C-elegans-frontal,3,2,1.9835475175292425,9,24
94,C-elegans-frontal,4,2,1.8500161249047198,9,21
95,C-elegans-frontal,5,2,2.4853642110586582,14,54
96,C-elegans-frontal,6,2,1.9409879031104464,9,23
97,C-elegans-frontal,7,2,2.4597867298649487,13,50
98,C-elegans-frontal,8,2,1.8965361405396128,9,22
99,C-elegans-frontal,9,2,2.4395840225474292,13,49
100,C-elegans-frontal,10,3,2.186967357780635,12,36
101,C-elegans-frontal,11,3,2.026949369414223,10,27
102,C-elegans-frontal,12,3,2.0654196532513316,11,30
103,C-elegans-frontal,13,2,2.2613357911411107,13,41
104,C-elegans-frontal,14,2,2.190582796205338,11,34
105,C-elegans-frontal,15,2,2.2923278734384613,12,40
106,C-elegans-frontal,16,2,1.949988328278094,10,25
107,C-elegans-frontal,17,3,2.0315181015756503,11,29
108,C-elegans-frontal,18,2,2.026949369414223,10,27
109,C-elegans-frontal,19,2,2.2670100654541714,12,39
110,C-elegans-frontal,20,2,1.9892090414313757,10,26
111,C-elegans-frontal,21,2,1.9409879031104464,9,23
112,C-elegans-frontal,22,2,2.4740315740159753,15,56
113,C-elegans-frontal,23,2,2.376405120925898,13,46
114,C-elegans-frontal,24,2,2.1607298330556564,11,33
115,C-elegans-frontal,25,2,1.6618538855147134,8,16
116,C-elegans-frontal,26,2,2.063317013585097,10,28
117,C-elegans-frontal,27,2,1.8012259607352876,9,20
118,C-elegans-frontal,28,2,1.9892090414313757,10,26
119,C-elegans-frontal,29,2,1.9835475175292425,9,24
120,amazon0302,0,0,0.0,1,0
121,amazon0302,1,0,0.0,1,0
122,amazon0302,2,0,0.0,1,0
123,amazon0302,3,0,0.0,1,0
124,amazon0302,4,0,0.0,1,0
125,amazon0302,5,0,0.0,1,0
126,amazon0302,6,0,0.0,1,0
127,amazon0302,7,0,0.0,1,0
128,amazon0302,8,0,0.0,1,0
129,amazon0302,9,0,0.0,1,0
130,amazon0302,10,0,0.0,1,0
131,amazon0302,11,0,0.0,1,0
132,amazon0302,12,0,0.0,1,0
133,amazon0302,13,0,0.0,1,0
134,amazon0302,14,0,0.0,1,0
135,amazon0302,15,0,0.0,1,0
136,amazon0302,16,0,0.0,1,0
137,amazon0302,17,0,0.0,1,0
138,amazon0302,18,0,0.0,1,0
139,amazon0302,19,1,0.0,2,1
140,amazon0302,20,0,0.0,1,0
141,amazon0302,21,0,0.0,1,0
142,amazon0302,22,0,0.0,1,0
143,amazon0302,23,0,0.0,1,0
144,amazon0302,24,0,0.0,1,0
145,amazon0302,25,0,0.0,1,0
146,amazon0302,26,0,0.0,1,0
147,amazon0302,27,0,0.0,1,0
148,amazon0302,28,0,0.0,1,0
149,amazon0302,29,0,0.0,1,0
